1;Activity Logs
2;MiniProf Wheel Alarm Settings
3;Manual Wheel Warning Settings
4;Average Distance Management
5;Average Wear Rates Management
6;Coach-Axle Serial Number Mapping
7;Coach Asset Register  Management
8;Number of Axles per Coach Type
9;Wheel Measurements Management
10;Planning Report Management
11;Wheel Re-profiling Data Management
