Axle Serial Number;Axle Number;;Coach Number
5M2A3R;1;M5;21001M
5M2A157R;2;M5;21001M
5M2A433R;3;M5;21001M
5M2A48R;4;M5;21001M
5M2A67R;1;S3;50081M
5M2A90R;2;S3;50081M
5M2A122R;3;S3;50081M
5M2A601R;4;S3;50081M
5M2A115R;1;M4;50083M
5M2A1066R;2;M4;50083M
5M2A773R;3;M4;50083M
5M2A686R;4;M4;50083M
