Coach Number,Coach Type,Coach Category,
40089T, 5M2AT,T,
40090T, 5M2AT,T,
9771T, 5M2AT,T,
9775T, 5M2AT,T,
9785T, 5M2AT,T,
9799T, 5M2AT,T,
9806T, 5M2AT,T,
9951T, 5M2AT,T,
9968T, 5M2AT,T,
9980T, 5M2AT,T,
9992T, 5M2AT,T,
9995T, 5M2AT,T,
9996T, 5M2AT,T,
